scenario,run,epoch,total_reward,alpha,beta,r_search,r_wait
9,1,10,3095.0,0.7,0.5,4,2
9,2,1,2021.0,0.7,0.5,4,2
9,2,2,2038.0,0.7,0.5,4,2
9,2,3,3066.0,0.7,0.5,4,2
9,2,4,3113.0,0.7,0.5,4,2
9,2,5,3065.0,0.7,0.5,4,2
9,2,6,2981.0,0.7,0.5,4,2
9,2,7,2989.0,0.7,0.5,4,2
9,2,8,3057.0,0.7,0.5,4,2
9,2,9,3081.0,0.7,0.5,4,2
9,2,10,3111.0,0.7,0.5,4,2
10,0,1,2032.0,0.7,0.6,4,2
10,0,2,2027.0,0.7,0.6,4,2
10,0,3,2044.0,0.7,0.6,4,2
10,0,4,2034.0,0.7,0.6,4,2
10,0,5,3001.0,0.7,0.6,4,2
10,0,6,3094.0,0.7,0.6,4,2
10,0,7,3045.0,0.7,0.6,4,2
10,0,8,2997.0,0.7,0.6,4,2
10,0,9,3031.0,0.7,0.6,4,2
10,0,10,3051.0,0.7,0.6,4,2
10,1,1,2032.0,0.7,0.6,4,2
10,1,2,3086.0,0.7,0.6,4,2
10,1,3,3108.0,0.7,0.6,4,2
10,1,4,3065.0,0.7,0.6,4,2
10,1,5,3062.0,0.7,0.6,4,2
10,1,6,3081.0,0.7,0.6,4,2
10,1,7,3134.0,0.7,0.6,4,2
10,1,8,3066.0,0.7,0.6,4,2
10,1,9,3044.0,0.7,0.6,4,2
10,1,10,3077.0,0.7,0.6,4,2
10,2,1,2023.0,0.7,0.6,4,2
10,2,2,3117.0,0.7,0.6,4,2
10,2,3,3048.0,0.7,0.6,4,2
10,2,4,3035.0,0.7,0.6,4,2
10,2,5,3050.0,0.7,0.6,4,2
10,2,6,3147.0,0.7,0.6,4,2
10,2,7,3121.0,0.7,0.6,4,2
10,2,8,3048.0,0.7,0.6,4,2
10,2,9,3050.0,0.7,0.6,4,2
10,2,10,3035.0,0.7,0.6,4,2
11,0,1,2017.0,0.7,0.7,4,2
11,0,2,2030.0,0.7,0.7,4,2
11,0,3,2034.0,0.7,0.7,4,2
11,0,4,3025.0,0.7,0.7,4,2
11,0,5,3007.0,0.7,0.7,4,2
11,0,6,3060.0,0.7,0.7,4,2
11,0,7,2930.0,0.7,0.7,4,2
11,0,8,3122.0,0.7,0.7,4,2
11,0,9,3067.0,0.7,0.7,4,2
11,0,10,2981.0,0.7,0.7,4,2
11,1,1,2027.0,0.7,0.7,4,2
11,1,2,3119.0,0.7,0.7,4,2
11,1,3,3100.0,0.7,0.7,4,2
11,1,4,3006.0,0.7,0.7,4,2
11,1,5,3027.0,0.7,0.7,4,2
11,1,6,3043.0,0.7,0.7,4,2
11,1,7,2922.0,0.7,0.7,4,2
11,1,8,3051.0,0.7,0.7,4,2
11,1,9,3053.0,0.7,0.7,4,2
11,1,10,2983.0,0.7,0.7,4,2
11,2,1,2028.0,0.7,0.7,4,2
11,2,2,2034.0,0.7,0.7,4,2
11,2,3,2986.0,0.7,0.7,4,2
11,2,4,3044.0,0.7,0.7,4,2
11,2,5,3056.0,0.7,0.7,4,2
11,2,6,3020.0,0.7,0.7,4,2
11,2,7,3054.0,0.7,0.7,4,2
11,2,8,2994.0,0.7,0.7,4,2
11,2,9,2998.0,0.7,0.7,4,2
11,2,10,3020.0,0.7,0.7,4,2
12,0,1,2014.0,0.8,0.5,4,2
12,0,2,3355.0,0.8,0.5,4,2
12,0,3,3332.0,0.8,0.5,4,2
12,0,4,3296.0,0.8,0.5,4,2
12,0,5,3300.0,0.8,0.5,4,2
12,0,6,3300.0,0.8,0.5,4,2
12,0,7,3315.0,0.8,0.5,4,2
12,0,8,3293.0,0.8,0.5,4,2
12,0,9,3282.0,0.8,0.5,4,2
12,0,10,3219.0,0.8,0.5,4,2
12,1,1,2044.0,0.8,0.5,4,2
12,1,2,3288.0,0.8,0.5,4,2
